,time,latitude,longitude
500,2017-08-12 15:14:48.804,-158073534,-480819131
501,2017-08-12 15:15:55.034,-158073534,-480819131
502,2017-08-12 15:16:56.072,-158072890,-480820294
503,2017-08-12 15:17:57.089,-158074454,-480818356
504,2017-08-12 15:18:58.171,-158073351,-480819131
505,2017-08-12 15:21:00.331,-158079787,-480812929
506,2017-08-12 15:23:00.262,-158072200,-480821263
507,2017-08-12 15:25:03.233,-158072936,-480820488
508,2017-08-12 15:27:04.337,-158072844,-480820099
509,2017-08-12 15:29:06.271,-158071926,-480820099
510,2017-08-12 15:31:07.201,-158072339,-480820294
511,2017-08-12 15:33:08.126,-158079353,-480811476
512,2017-08-12 15:35:09.245,-158072936,-480820488
513,2017-08-12 15:36:10.545,-158072890,-480820294
514,2017-08-12 15:37:10.439,-158072890,-480820294
515,2017-08-12 15:38:12.405,-158073534,-480819131
